2986043	Pic de Font Blanca	Pic de Font Blanca	Pic de Font Blanca,Pic du Port	42.64991	1.53335	T	PK	AD		00				0		2860	Europe/Andorra	2014-11-05
2993838	Pic de Mil-Menut	Pic de Mil-Menut	Pic de Mil-Menut	42.63333	1.65	T	PK	AD	AD,FR	B3	09	091	09024	0		2138	Europe/Andorra	2014-11-05
2994701	Roc Mélé	Roc Mele	Roc Mele,Roc Meler,Roc Mélé	42.58765	1.74028	T	MT	AD	AD,FR	00				0		2586	Europe/Andorra	2014-11-05
3007683	Pic des Langounelles	Pic des Langounelles	Pic des Langounelles	42.61203	1.47364	T	PK	AD	AD,FR	00				0		2608	Europe/Andorra	2014-11-05
3017832	Pic de les Abelletes	Pic de les Abelletes	Pic de la Font-Negre,Pic de la Font-Nègre,Pic de les Abelletes	42.52535	1.73343	T	PK	AD	FR	A9	66	663	66146	0		2436	Europe/Andorra	2014-11-05
3017833	Estany de les Abelletes	Estany de les Abelletes	Estany de les Abelletes,Etang de Font-Negre,Étang de Font-Nègre	42.52915	1.73362	H	LK	AD	FR	A9				0		2260	Europe/Andorra	2014-11-05
3023203	Port Vieux de la Coume d’Ose	Port Vieux de la Coume d'Ose	Port Vieux de Coume d'Ose,Port Vieux de Coume d’Ose,Port Vieux de la Coume d'Ose,Port Vieux de la Coume d’Ose	42.62568	1.61823	T	PASS	AD		00				0		2541	Europe/Andorra	2014-11-05
3029315	Port de la Cabanette	Port de la Cabanette	Port de la Cabanette,Porteille de la Cabanette	42.6	1.73333	T	PASS	AD	AD,FR	B3	09	091	09139	0		2379	Europe/Andorra	2014-11-05
3034945	Port Dret	Port Dret	Port Dret,Port de Bareites,Port de las Bareytes,Port des Bareytes	42.60172	1.45562	T	PASS	AD		00				0		2650	Europe/Andorra	2014-11-05
3038814	Costa de Xurius	Costa de Xurius		42.5	1.48333	T	SLP	AD		00				0		1434	Europe/Andorra	1993-12-23
3038815	Font de la Xona	Font de la Xona		42.55003	1.44986	H	SPNG	AD		04				0		1976	Europe/Andorra	2010-01-11
3038816	Xixerella	Xixerella		42.55327	1.48736	P	PPL	AD		04				0		1417	Europe/Andorra	2009-04-24
3038817	Xixerella	Xixerella	Xixerella	42.55294	1.48764	A	ADMD	AD		00				0		1417	Europe/Andorra	2012-04-13
3038818	Riu Xic	Riu Xic		42.57165	1.67554	H	STM	AD		02				0		2340	Europe/Andorra	2014-12-03
3038819	Pas del Xic	Pas del Xic		42.5	1.58333	R	TRL	AD		00				0		1961	Europe/Andorra	1993-12-23
3038820	Roc del Xeig	Roc del Xeig		42.56386	1.48328	T	RK	AD		04				0		1653	Europe/Andorra	2014-11-05
3038821	Collada del Xeig	Collada del Xeig		42.57512	1.49009	T	PK	AD		04				0		2019	Europe/Andorra	2014-11-05
3038822	Fonts Vives	Fonts Vives		42.5	1.56667	H	SPNG	AD		00				0		1684	Europe/Andorra	1993-12-23
3038823	Roc de Vista	Roc de Vista		42.5	1.48333	T	RK	AD		00				0		1434	Europe/Andorra	1993-12-23
3038824	Obaga de Vista	Obaga de Vista		42.48333	1.45	T	SLP	AD		00				0		1341	Europe/Andorra	1993-12-23
3038825	Coll de Vista	Coll de Vista		42.46667	1.58333	T	SPUR	AD		00				0		2419	Europe/Andorra	1993-12-23
3038826	Coll de Vista	Coll de Vista	Coll de Vista	42.47552	1.44173	T	PASS	AD	AD,ES	00				0		1403	Europe/Andorra	2014-11-05
3038827	Visanseny	Visanseny	Visanceny,Visanseny	42.57488	1.61616	L	LCTY	AD		02				0		1724	Europe/Andorra	2014-12-03
3038828	Roc de la Vinya	Roc de la Vinya		42.53333	1.56667	T	RK	AD		00				0		1342	Europe/Andorra	1993-12-23
3038829	Canal de la Vinya	Canal de la Vinya		42.51667	1.51667	H	STM	AD		00				0		1607	Europe/Andorra	1993-12-23
3038830	Bosc de Villar	Bosc de Villar		42.60135	1.5434	V	FRST	AD		05				0		2136	Europe/Andorra	2014-12-03
3038831	Torrent de Vila	Torrent de Vila		42.53333	1.56667	H	STM	AD		00				0		1342	Europe/Andorra	1993-12-23
3038832	Vila	Vila	Casas Vila,Vila	42.53176	1.56654	P	PPL	AD		03				0		1318	Europe/Andorra	2012-04-13
3038833	Basers de Vicenç	Basers de Vicenc		42.48333	1.48333	T	CLF	AD		00				0		1279	Europe/Andorra	1993-12-23
3038834	Pla de Viàs	Pla de Vias		42.59001	1.65996	T	UPLD	AD		02				0		1867	Europe/Andorra	2014-12-03
3038835	Vial del Cardaire	Vial del Cardaire		42.56372	1.50503	L	LCTY	AD		04				0		1667	Europe/Andorra	2014-11-05
